GC_Content	Count	sample
93	2599.5	pt2
94	2097.5	pt2
95	1829.0	pt2
96	1726.5	pt2
97	1401.0	pt2
98	787.5	pt2
99	473.5	pt2
100	468.0	pt2
0	7.0	ct5
1	7.0	ct5
2	10.0	ct5
3	14.5	ct5
4	16.0	ct5
5	16.0	ct5
6	15.0	ct5
7	16.5	ct5
8	22.5	ct5
9	30.5	ct5
10	37.0	ct5
11	50.0	ct5
12	77.0	ct5
13	127.0	ct5
14	198.5	ct5
15	303.5	ct5
16	474.5	ct5
17	729.0	ct5
18	1120.0	ct5
19	1580.5	ct5
20	3557.0	ct5
21	6403.5	ct5
22	7590.0	ct5
23	8872.0	ct5
24	11215.5	ct5
25	22744.0	ct5
26	40117.0	ct5
27	47425.0	ct5
28	56307.0	ct5
29	67554.5	ct5
30	131443.5	ct5
31	245371.0	ct5
32	302865.0	ct5
33	386618.0	ct5
34	562479.5	ct5
35	660608.5	ct5
36	711165.5	ct5
37	721034.0	ct5
38	703249.5	ct5
39	933371.0	ct5
40	1147189.5	ct5
41	1165748.5	ct5
42	1180067.5	ct5
43	1279036.0	ct5
44	1397218.0	ct5
45	1535620.5	ct5
46	1893407.0	ct5
47	2136572.5	ct5
48	2013169.0	ct5
49	1886322.0	ct5
50	1563944.0	ct5
51	1241566.0	ct5
52	980571.0	ct5
53	698591.5	ct5
54	636952.0	ct5
55	558985.0	ct5
56	507080.5	ct5
57	502844.5	ct5
58	511052.0	ct5
59	477040.0	ct5
60	442173.5	ct5
61	403711.5	ct5
62	393891.5	ct5
63	394207.5	ct5
64	347359.5	ct5
65	322671.5	ct5
66	288960.5	ct5
67	250239.0	ct5
68	211738.0	ct5
69	168045.5	ct5
70	149787.5	ct5
71	124513.5	ct5
72	102619.5	ct5
73	99832.5	ct5
74	82401.5	ct5
75	62868.5	ct5
76	54318.5	ct5
77	49488.0	ct5
78	50177.5	ct5
79	52264.5	ct5
80	51537.0	ct5
81	49771.0	ct5
82	49139.5	ct5
83	44424.0	ct5
84	39546.0	ct5
85	32062.0	ct5
86	22699.0	ct5
87	18012.0	ct5
88	15925.5	ct5
89	14509.5	ct5
90	13114.5	ct5
91	11582.5	ct5
92	10541.0	ct5
93	9256.0	ct5
94	7807.0	ct5
95	7314.5	ct5
96	7250.0	ct5
97	5807.5	ct5
98	2965.5	ct5
99	1566.0	ct5
100	1566.0	ct5
0	40.0	pt5
1	39.5	pt5
2	37.0	pt5
3	34.0	pt5
4	33.5	pt5
5	32.5	pt5
6	34.0	pt5
7	47.0	pt5
8	62.5	pt5
9	75.5	pt5
10	86.5	pt5
11	97.0	pt5
12	134.5	pt5
13	207.0	pt5
14	285.5	pt5
15	399.5	pt5
16	571.0	pt5
17	828.5	pt5
18	1277.0	pt5
19	2370.0	pt5
20	6854.5	pt5
21	11558.5	pt5
22	12172.5	pt5
23	12596.0	pt5
24	15379.0	pt5
25	31664.0	pt5
26	50674.5	pt5
27	55722.0	pt5
28	61865.5	pt5
29	71164.5	pt5
30	124468.5	pt5
31	222342.5	pt5
32	275103.5	pt5
33	353336.0	pt5
34	500021.5	pt5
35	575140.5	pt5
36	619761.0	pt5
37	619507.5	pt5
38	583702.5	pt5
39	712297.5	pt5
40	843256.0	pt5
41	866608.5	pt5
42	894127.5	pt5
43	1009276.0	pt5
44	1154460.0	pt5
45	1289247.0	pt5
46	1483570.5	pt5
47	1945303.0	pt5
48	2430430.0	pt5
49	2619818.0	pt5
50	2401134.5	pt5
51	2096971.0	pt5
52	2082722.0	pt5
53	1838943.5	pt5
54	1512923.5	pt5
55	954792.5	pt5
56	688046.5	pt5
57	1145968.5	pt5
58	1364595.0	pt5
59	1132389.0	pt5
60	743953.0	pt5
61	542765.0	pt5
62	516451.0	pt5
63	461405.0	pt5
64	363880.5	pt5
65	299289.0	pt5
66	193582.5	pt5
67	98129.5	pt5
68	81737.0	pt5
69	71131.5	pt5
70	67612.0	pt5
71	62110.0	pt5
72	60086.5	pt5
73	59510.5	pt5
74	48392.5	pt5
75	34180.5	pt5
76	23476.0	pt5
77	17728.5	pt5
78	15623.0	pt5
79	14322.0	pt5
80	12581.0	pt5
81	12032.0	pt5
82	12280.5	pt5
83	11116.0	pt5
84	9129.5	pt5
85	8398.5	pt5
86	8438.5	pt5
87	8295.5	pt5
88	8503.0	pt5
89	8680.0	pt5
90	8558.0	pt5
91	6990.5	pt5
92	4436.5	pt5
93	2468.0	pt5
94	1355.5	pt5
95	1039.5	pt5
96	954.5	pt5
97	755.0	pt5
98	370.0	pt5
99	173.0	pt5
100	170.0	pt5
0	59.0	pt7
1	61.0	pt7
2	58.5	pt7
3	44.0	pt7
4	32.0	pt7
5	31.5	pt7
6	38.0	pt7
7	58.0	pt7
8	89.5	pt7
9	121.5	pt7
10	142.5	pt7
11	188.5	pt7
12	290.5	pt7
13	478.0	pt7
14	708.0	pt7
15	1081.0	pt7
16	1666.5	pt7
17	2539.0	pt7
18	3828.0	pt7
19	6804.5	pt7
20	17722.0	pt7
21	28925.5	pt7
22	30106.5	pt7
23	26799.5	pt7
24	26022.5	pt7
25	48992.0	pt7
26	84082.5	pt7
27	99664.0	pt7
28	123808.0	pt7
29	152706.0	pt7
30	333554.0	pt7
31	614869.5	pt7
32	729420.0	pt7
33	908937.0	pt7
34	1272882.0	pt7
35	1468743.0	pt7
36	1559662.5	pt7
37	1544491.0	pt7
38	1467859.0	pt7
39	1783233.5	pt7
40	2094454.5	pt7
41	2134844.0	pt7
42	2172886.5	pt7
43	2263747.0	pt7
44	2416717.0	pt7
45	2661393.5	pt7
46	3135893.5	pt7
47	3948432.5	pt7
48	4246302.0	pt7
49	4120926.5	pt7
50	3312994.0	pt7
51	2482532.5	pt7
52	2078801.5	pt7
53	1466104.5	pt7
54	1111654.5	pt7
55	902484.0	pt7
56	999654.5	pt7
57	1139658.0	pt7
58	1087251.0	pt7
59	847606.5	pt7
60	680345.5	pt7
61	604330.5	pt7
62	564878.5	pt7
63	538944.0	pt7
64	451531.0	pt7
65	355717.5	pt7
66	257741.0	pt7
67	208100.5	pt7
68	171505.5	pt7
69	130329.0	pt7
70	115427.0	pt7
71	96287.0	pt7
72	83180.5	pt7
73	82151.5	pt7
74	63830.5	pt7
75	43183.5	pt7
76	33533.0	pt7
77	26118.5	pt7
78	21013.5	pt7
79	20942.5	pt7
80	20211.0	pt7
81	19931.5	pt7
82	21369.0	pt7
83	20080.0	pt7
84	18383.5	pt7
85	14196.5	pt7
86	7883.5	pt7
87	4717.0	pt7
88	3864.0	pt7
89	3371.5	pt7
90	2991.5	pt7
91	2446.0	pt7
92	2013.0	pt7
93	1624.0	pt7
94	1234.0	pt7
95	1120.5	pt7
96	1071.0	pt7
97	800.0	pt7
98	375.0	pt7
99	206.0	pt7
100	204.0	pt7
0	9.0	ct4
1	9.0	ct4
2	8.0	ct4
3	6.0	ct4
4	5.0	ct4
5	5.0	ct4
6	5.0	ct4
7	9.5	ct4
8	23.0	ct4
9	36.0	ct4
10	42.5	ct4
11	50.0	ct4
12	68.0	ct4
13	109.5	ct4
14	162.0	ct4
15	246.5	ct4
16	359.0	ct4
17	522.0	ct4
18	844.0	ct4
19	1228.5	ct4
20	3115.0	ct4
21	5734.5	ct4
22	6695.0	ct4
23	7292.0	ct4
24	8663.5	ct4
25	16596.0	ct4
26	28457.0	ct4
27	33330.5	ct4
28	41160.0	ct4
29	51746.5	ct4
30	113798.0	ct4
31	231839.0	ct4
32	295655.5	ct4
33	384743.0	ct4
34	563069.0	ct4
35	657526.5	ct4
36	697619.0	ct4
37	691105.0	ct4
38	661937.5	ct4
39	905149.0	ct4
40	1136238.0	ct4
41	1152229.5	ct4
42	1162296.0	ct4
43	1181211.5	ct4
44	1216152.0	ct4
45	1328110.0	ct4
46	1623171.0	ct4
47	1825782.5	ct4
48	1708404.5	ct4
49	1586669.0	ct4
50	1321283.5	ct4
51	1055898.0	ct4
52	844077.0	ct4
53	613701.0	ct4
54	566519.0	ct4
55	505187.0	ct4
56	459368.5	ct4
57	458080.0	ct4
58	470292.0	ct4
59	438044.0	ct4
60	399168.0	ct4
61	351504.5	ct4
