Quality	Count	sample
4	140.0	pc4
5	120.0	pc4
6	176.0	pc4
7	312.0	pc4
8	349.0	pc4
9	469.0	pc4
10	644.0	pc4
11	893.0	pc4
12	1204.0	pc4
13	1557.0	pc4
14	1929.0	pc4
15	2312.0	pc4
16	2586.0	pc4
17	3086.0	pc4
18	3572.0	pc4
19	4385.0	pc4
20	5793.0	pc4
21	7060.0	pc4
22	9448.0	pc4
23	13182.0	pc4
24	18306.0	pc4
25	27028.0	pc4
26	38738.0	pc4
27	55431.0	pc4
28	76683.0	pc4
29	101631.0	pc4
30	131279.0	pc4
31	166840.0	pc4
32	208253.0	pc4
33	266403.0	pc4
34	357524.0	pc4
35	525600.0	pc4
36	830320.0	pc4
37	1540681.0	pc4
38	2561040.0	pc4
39	7487407.0	pc4
40	1125861.0	pc4
2	2150.0	pc2
3	924.0	pc2
4	338.0	pc2
5	226.0	pc2
6	290.0	pc2
7	407.0	pc2
8	391.0	pc2
9	514.0	pc2
10	665.0	pc2
11	736.0	pc2
12	1020.0	pc2
13	1106.0	pc2
14	1311.0	pc2
15	1483.0	pc2
16	1831.0	pc2
17	2184.0	pc2
18	2595.0	pc2
19	3289.0	pc2
20	4364.0	pc2
21	6001.0	pc2
22	8558.0	pc2
23	12326.0	pc2
24	18506.0	pc2
25	27687.0	pc2
26	39863.0	pc2
27	57007.0	pc2
28	79184.0	pc2
29	105874.0	pc2
30	138352.0	pc2
31	175936.0	pc2
32	222616.0	pc2
33	285663.0	pc2
34	391353.0	pc2
35	590355.0	pc2
36	963696.0	pc2
37	1613964.0	pc2
38	2359268.0	pc2
39	6896459.0	pc2
40	831294.0	pc2
2	1151.0	pt4
3	230.0	pt4
4	98.0	pt4
5	91.0	pt4
6	124.0	pt4
7	180.0	pt4
8	220.0	pt4
9	256.0	pt4
10	343.0	pt4
11	422.0	pt4
12	593.0	pt4
13	678.0	pt4
14	757.0	pt4
15	993.0	pt4
16	1204.0	pt4
17	1553.0	pt4
18	1966.0	pt4
19	2459.0	pt4
20	3214.0	pt4
21	4688.0	pt4
22	6658.0	pt4
23	9845.0	pt4
24	15028.0	pt4
25	22243.0	pt4
26	32692.0	pt4
27	46721.0	pt4
28	64421.0	pt4
29	85349.0	pt4
30	110481.0	pt4
31	139526.0	pt4
32	172881.0	pt4
33	219445.0	pt4
34	292038.0	pt4
35	425269.0	pt4
36	660131.0	pt4
37	1150707.0	pt4
38	2050332.0	pt4
39	7361870.0	pt4
40	1059019.0	pt4
2	1307.0	pt6
3	327.0	pt6
4	172.0	pt6
5	139.0	pt6
6	167.0	pt6
7	261.0	pt6
8	289.0	pt6
9	343.0	pt6
10	513.0	pt6
11	747.0	pt6
12	1020.0	pt6
13	1066.0	pt6
14	1150.0	pt6
15	1367.0	pt6
16	1871.0	pt6
17	2603.0	pt6
18	3340.0	pt6
19	3743.0	pt6
20	4468.0	pt6
21	5905.0	pt6
22	7702.0	pt6
23	10596.0	pt6
24	15759.0	pt6
25	23955.0	pt6
26	35328.0	pt6
27	50732.0	pt6
28	70690.0	pt6
29	94623.0	pt6
30	122932.0	pt6
31	156071.0	pt6
32	194555.0	pt6
33	247369.0	pt6
34	330761.0	pt6
35	481775.0	pt6
36	747818.0	pt6
37	1375090.0	pt6
38	2572323.0	pt6
39	9286514.0	pt6
40	1459867.0	pt6
2	233502.0	cc5
3	4861.0	cc5
4	2109.0	cc5
5	3039.0	cc5
6	3679.0	cc5
7	6279.0	cc5
8	5650.0	cc5
9	4008.0	cc5
10	3862.0	cc5
11	4582.0	cc5
12	6150.0	cc5
13	7479.0	cc5
14	8802.0	cc5
15	10272.0	cc5
16	10432.0	cc5
17	11867.0	cc5
18	14401.0	cc5
19	19182.0	cc5
20	24734.0	cc5
21	29998.0	cc5
22	34149.0	cc5
23	38329.0	cc5
24	42213.0	cc5
25	44058.0	cc5
26	42450.0	cc5
27	44171.0	cc5
28	49288.0	cc5
29	55183.0	cc5
30	62056.0	cc5
31	72300.0	cc5
32	86274.0	cc5
33	106378.0	cc5
34	136361.0	cc5
35	203712.0	cc5
36	344619.0	cc5
37	616249.0	cc5
38	1226725.0	cc5
39	3369259.0	cc5
40	683881.0	cc5
2	2193.0	pc1
3	1037.0	pc1
4	411.0	pc1
5	201.0	pc1
6	278.0	pc1
7	369.0	pc1
8	417.0	pc1
9	513.0	pc1
10	582.0	pc1
11	733.0	pc1
12	859.0	pc1
13	1044.0	pc1
14	1161.0	pc1
15	1303.0	pc1
16	1528.0	pc1
17	1851.0	pc1
18	2350.0	pc1
19	3254.0	pc1
20	4782.0	pc1
21	7013.0	pc1
22	10427.0	pc1
23	15861.0	pc1
24	23577.0	pc1
25	34907.0	pc1
26	50123.0	pc1
27	69294.0	pc1
28	93650.0	pc1
29	123024.0	pc1
30	158421.0	pc1
31	199263.0	pc1
32	249568.0	pc1
33	319488.0	pc1
34	428758.0	pc1
35	637786.0	pc1
36	1037477.0	pc1
37	1648765.0	pc1
38	2394661.0	pc1
39	7502858.0	pc1
40	1275237.0	pc1
